id,url_amazon,category,name,description,image
1,https://www.amazon.ca/dp/B08R6XRYVD,Dowsing,"Dowsing Rods, Divining Rods For Water Finding, Dowsing Pendulum For Gold Detection, Metal Detector L Rods Copper, Radiesthesia Tools","Dowsing rods is a sensitive tool that can be affected by the thought and air space, also will be affected by the external world and energy properties of different things.",CopperDowsingRods.jpg
2,https://www.amazon.ca/dp/B09VKTJQD6,Dowsing,"2 PCS Dowsing Rods, Durable Brass Tools Water Detector Measuring Instruments with Handles Copper Dowsing Divining Rods Detector for Ghost Hunting Tools, Divining Water, Treasure","Application- The dowsing rods are usually applied to ghost , divining water, looking for lost things and so on; Retractable Dowsing Rod- Made of steel, it is easy to carry and stretch, and the center shaft design is flexible. It will be affected by the external world and properties of different things. It can be used to look for the vein, water, crypt, people or something else
Usage- Hold the handle, make the pin turning freely, peace your heart at same ; Think nothing then tell the dowsing rod what you are looking for",RetractilDowsingRods.jpg
3,https://www.amazon.ca/dp/B08L36KW7F,Dowsing,"Solid Copper and Brass Dowsing Rods with Smooth Movement for Tracing Spiritual Energy Chi, Ghost Hunting, Water Divining, Finding Gold","Includes two dowsing rods each 13.5 x 4.5 inches. Free gliding handles provide more sensitivity for feeling movements.
Made from highly conductive copper metal and brass. As a conductor of energy, it can provide a connection to the spiritual world and amplify the users thoughts.",DeluxDowingRods.jpg
4,https://www.amazon.ca/dp/B085VN1MW8,Pendulum,Pendulum - Top Plaza Bronze Metal Copper Spiritual Point Pendulum for Divination Healing Dowsing Wicca Balancing Pointed Cone Pendant Pendulum,"[ WHAT CAN PENDULUM DO ] This pendulum is perfect for divination, chakra testing and spiritual healing. tantrism, spiritualism and eradication of evil forces. Pendulum should be clean after each use to get best results.
[ DOWSING PENDULUM ] Dowsing pendulum can help you make healthy Good choices and help you find things you have lost, your pendulum can help you make decisions about your career, relationships or future plans,and help you heal balance your identifying energy field.",CopperPendulum.jpg
5,https://www.amazon.ca/dp/B0C5936W2Q,Dowsing,"Kit Kakalote Copper Dowsing Rod,Divining Rods Copper and Dowsing Pendulum,Pendulum Pendant for Energy Healing, Divining Water(Size:16.14 inch)","【DOWAING ROD】: It borrows the magnetic field sensitivity of the human body to release the subtle induction through the physical reaction of the rod and turns it into a visible signal. People, looking for lost things, breaking good and bad, etc.
【STABLE ROTATION】: The central axis is designed with flexible turning, and the angle can be adjusted according to needs, and the telescopic design is convenient to adjust the length. Popularly used in geography and geomantic feng shui, it is a must-have tool for kanyu masters.
【L-SHAPED DESIGN】: The probe is designed in an L shape, which is easy to hold and comfortable to hold. The handle can be freely rotated and adjusted, which is convenient for the accurate progress of the investigation work.",DowsingRods+Pendulum.jpg
6,https://www.amazon.ca/dp/B0GMQZVCBL,Dowsing,"Exploration Set 2 Copper Dowsing Rods, Pendulum, and Mat for Finding Water, Minerals, and Enhancing Energy Therapy","Complete Dowsing Set: Includes 2 telescopic 99.9% copper dowsing rods, 1 wooden pendulum pad, and 1 pendant-everything needed to begin dowsing practice right away.
FIRST-RATE Pure Copper Construction: Crafted from 99.9% copper for optimal conductivity and responsiveness during dowsing , supporting intuitive exploration and energetic alignment.
Portable & Ready-to-Use Design: Lightweight telescopic rods extend and lock securely; compact pendulum pad folds easily-perfect for field use, meditation spaces, or on-the-go intuitive work.",CompleteDownsingSet.jpg
7,https://www.amazon.ca/dp/B01MQJREAI,Pendulum,Pendulum Made of Natural Gemstone Crystals for Dowsing Divination Chakra Reiki. Pointed with Chain and Jewelry Pouch,"A gemstone pendulum made of quartz crystal. A great tool for divinations, dowsings and communicating with the spirit world.
Dimensions: 35 x 18mm. Chain length: 18cm.",CristalPendulum.jpg
8,https://www.amazon.ca/dp/B07DTJL8CB,Pendulum,4 Ring Plate Copper Metal Chamber Pendulum for Healing Care.,"Benefits : Feeling better,Spiritual growth,transform life, improve abilities,Spiritual and psychological growth,",Pendulum1.jpg
9,https://www.amazon.ca/dp/B0DPMNTNVF,Generator Frequency,"7.83Hz Frequency Generator For Healing, Adjustable 0.1HZ-100000Hz Sine Signals Generator, USB Schumann Wave Resonance Generator, Pulses Generator Frequency Devices Sound Frequency Machine (Green)","【 Upgraded Resonance Generator 】- This frequency devices is a new version of eletechsup's adjustable generator, which uses a low-temperature drift crystal and a high-precision dedicated chip. This frequency generator can accurately output frequency and sine
【 Stable and Accurate 】- The wave resonance generator operates at the default frequency of 7.83Hz, and the sine amplitude is stabilized at 3V, while the square amplitude is set at 5V. Such setting ensures the stability and accuracy of the output The digital circuit crystal oscillators frequency reference is more stable and have strong antiinterference ability.
【 Adjustable Frequencies 】- This frequency generator for hearing not only outputs 7.83Hz, but also incorporates programmable frequency modulation technology, which can adjust the frequency in the ranges of 0.1HZ-100000HZ.",FrequencyGenerator.jpg
10,https://www.amazon.ca/dp/B08J4317GN,Generator Frequency,Orgonite Pyramid for EMF Protection and Negative Energy Protection | Natural Crystal Orgone Organite Pyramid (Healing Copper Coil),,PiramidOrgonite.jpg
